iter	Passed	Remaining
0	123	98445
1	131	52427
2	138	36771
3	186	37030
4	194	30901
5	198	26332
6	206	23399
7	213	21156
8	220	19394
9	225	17798
10	234	16827
11	241	15850
12	243	14768
13	246	13834
14	248	13030
15	250	12259
16	251	11591
17	254	11048
18	257	10579
19	259	10139
20	262	9736
21	265	9376
22	267	9044
23	270	8759
24	273	8485
25	276	8227
26	278	7984
27	281	7760
28	284	7554
29	287	7384
30	290	7205
31	293	7032
32	295	6868
33	298	6714
34	300	6571
35	303	6451
36	306	6322
37	309	6200
38	311	6083
39	314	5973
40	317	5869
41	320	5783
42	321	5668
43	323	5564
44	326	5477
45	329	5394
46	331	5314
47	334	5237
48	338	5185
49	340	5114
50	343	5045
51	346	4980
52	348	4918
53	352	4867
54	355	4809
55	357	4753
56	360	4698
57	363	4646
58	365	4595
59	367	4534
60	370	4489
61	373	4444
62	375	4394
63	379	4358
64	382	4323
65	384	4279
66	388	4246
67	391	4213
68	394	4182
69	398	4152
70	403	4141
71	406	4106
72	409	4078
73	412	4050
74	414	4004
75	418	3984
76	421	3958
77	424	3933
78	427	3899
79	430	3872
80	433	3850
81	436	3822
82	439	3794
83	441	3767
84	444	3740
85	447	3713
86	450	3694
87	453	3668
88	456	3643
89	458	3618
90	461	3593
91	463	3569
92	467	3552
93	469	3528
94	472	3506
95	475	3484
96	477	3461
97	480	3440
98	483	3424
99	486	3404
100	487	3374
101	490	3353
102	492	3334
103	495	3314
104	498	3300
105	501	3282
106	503	3259
107	506	3242
108	508	3224
109	510	3202
110	513	3187
111	516	3172
112	519	3156
113	521	3140
114	525	3127
115	527	3111
116	531	3101
117	535	3092
118	537	3077
119	540	3062
120	543	3047
121	546	3036
122	549	3024
123	552	3009
124	554	2996
125	556	2978
126	559	2963
127	562	2951
128	565	2939
129	567	2925
130	570	2912
131	572	2899
132	575	2886
133	578	2877
134	581	2864
135	584	2852
136	586	2839
137	589	2827
138	592	2815
139	595	2807
140	597	2793
141	600	2781
142	602	2769
143	605	2758
144	608	2746
145	610	2736
146	613	2725
147	616	2714
148	618	2704
149	621	2693
150	624	2683
151	627	2674
152	630	2664
153	632	2654
154	635	2644
155	638	2634
156	640	2624
157	644	2617
158	646	2608
159	649	2598
160	652	2589
161	655	2579
162	657	2570
163	661	2564
164	663	2554
165	666	2545
166	669	2535
167	671	2527
168	674	2518
169	677	2512
170	681	2505
171	683	2497
172	686	2488
173	689	2479
174	692	2473
175	695	2464
176	697	2456
177	700	2447
178	703	2439
179	705	2431
180	709	2424
181	711	2417
182	714	2410
183	717	2402
184	720	2394
185	722	2386
186	726	2380
187	728	2373
188	731	2365
189	734	2357
190	737	2350
191	739	2342
192	743	2337
193	745	2329
194	748	2322
195	751	2314
196	753	2307
197	756	2300
198	759	2294
199	762	2286
200	765	2279
201	767	2273
202	770	2266
203	774	2261
204	777	2257
205	781	2253
206	784	2246
207	786	2238
208	789	2232
209	792	2225
210	794	2218
211	797	2211
212	800	2204
213	802	2198
214	805	2192
215	808	2185
216	811	2179
217	813	2173
218	816	2166
219	819	2159
220	822	2154
221	825	2148
222	827	2141
223	830	2135
224	832	2128
225	835	2121
226	839	2117
227	841	2111
228	844	2105
229	847	2099
230	849	2093
231	852	2087
232	856	2085
233	859	2079
234	862	2073
235	864	2067
236	867	2061
237	871	2056
238	873	2050
239	876	2044
240	879	2039
241	881	2033
242	884	2027
243	888	2023
244	890	2017
245	893	2012
246	896	2006
247	898	2000
248	901	1994
249	904	1990
250	907	1985
251	910	1979
252	913	1973
253	916	1970
254	920	1966
255	922	1960
256	925	1955
257	928	1949
258	930	1944
259	933	1938
260	936	1934
261	939	1928
262	942	1923
263	944	1918
264	947	1912
265	949	1907
266	953	1903
267	956	1898
268	958	1892
269	961	1887
270	964	1882
271	966	1876
272	970	1874
273	973	1868
274	976	1863
275	978	1858
276	981	1853
277	984	1849
278	987	1844
279	990	1839
280	992	1833
281	995	1828
282	997	1823
283	1001	1819
284	1003	1814
285	1006	1809
286	1009	1804
287	1012	1799
288	1014	1794
289	1018	1790
290	1020	1785
291	1023	1780
292	1026	1775
293	1028	1770
294	1031	1765
295	1035	1762
296	1037	1757
297	1040	1752
298	1043	1747
299	1045	1742
300	1048	1738
301	1051	1734
302	1054	1729
303	1057	1724
304	1059	1719
305	1062	1714
306	1065	1710
307	1068	1706
308	1070	1701
309	1073	1696
310	1075	1691
311	1078	1686
312	1081	1682
313	1084	1677
314	1086	1673
315	1089	1668
316	1091	1663
317	1094	1658
318	1097	1654
319	1100	1650
320	1103	1645
321	1105	1641
322	1108	1636
323	1110	1631
324	1113	1627
325	1116	1623
326	1119	1618
327	1121	1614
328	1124	1609
329	1126	1604
330	1129	1600
331	1132	1596
332	1135	1592
333	1137	1587
334	1140	1583
335	1143	1578
336	1146	1574
337	1148	1570
338	1151	1565
339	1154	1561
340	1156	1556
341	1159	1552
342	1161	1547
343	1165	1545
344	1168	1541
345	1171	1536
346	1173	1532
347	1176	1527
348	1179	1524
349	1182	1520
350	1185	1515
351	1187	1511
352	1190	1507
353	1192	1502
354	1196	1499
355	1199	1495
356	1201	1491
357	1204	1486
358	1206	1482
359	1209	1478
360	1213	1475
361	1215	1471
362	1218	1466
363	1221	1462
364	1223	1458
365	1226	1454
366	1229	1450
367	1232	1446
368	1234	1442
369	1237	1437
370	1239	1433
371	1242	1429
372	1245	1426
373	1248	1421
374	1250	1417
375	1253	1413
376	1255	1409
377	1258	1405
378	1261	1401
379	1264	1397
380	1267	1393
381	1269	1389
382	1272	1385
383	1275	1382
384	1278	1378
385	1281	1374
386	1283	1369
387	1286	1365
388	1288	1361
389	1292	1359
390	1295	1355
391	1298	1351
392	1301	1347
393	1303	1343
394	1306	1339
395	1309	1336
396	1312	1332
397	1315	1328
398	1317	1324
399	1320	1320
400	1322	1316
401	1326	1313
402	1328	1309
403	1331	1305
404	1333	1300
405	1336	1297
406	1339	1293
407	1342	1289
408	1345	1286
409	1348	1282
410	1350	1278
411	1353	1274
412	1356	1270
413	1359	1267
414	1361	1263
415	1364	1259
416	1367	1255
417	1369	1251
418	1372	1248
419	1375	1244
420	1378	1240
421	1381	1237
422	1383	1233
423	1386	1229
424	1389	1226
425	1392	1222
426	1395	1218
427	1397	1214
428	1400	1210
429	1402	1207
430	1406	1203
431	1408	1200
432	1411	1196
433	1413	1192
434	1416	1188
435	1419	1184
436	1422	1181
437	1425	1178
438	1428	1174
439	1430	1170
440	1433	1166
441	1435	1163
442	1439	1159
443	1441	1156
444	1444	1152
445	1446	1148
446	1449	1144
447	1452	1140
448	1455	1137
449	1458	1134
450	1460	1130
451	1463	1126
452	1466	1122
453	1468	1119
454	1471	1116
455	1474	1112
456	1477	1108
457	1480	1105
458	1482	1101
459	1485	1097
460	1488	1094
461	1491	1091
462	1493	1087
463	1496	1083
464	1499	1080
465	1501	1076
466	1505	1073
467	1508	1069
468	1510	1066
469	1513	1062
470	1515	1058
471	1518	1055
472	1521	1051
473	1524	1048
474	1526	1044
475	1529	1041
476	1532	1037
477	1534	1034
478	1537	1030
479	1541	1027
480	1544	1023
481	1546	1020
482	1549	1016
483	1552	1013
484	1555	1010
485	1557	1006
486	1560	1002
487	1562	999
488	1565	995
489	1568	992
490	1571	989
491	1574	985
492	1576	981
493	1579	978
494	1581	974
495	1585	971
496	1588	968
497	1590	964
498	1593	961
499	1595	957
500	1598	953
501	1601	950
502	1604	947
503	1606	943
504	1609	940
505	1612	936
506	1614	933
507	1618	930
508	1620	926
509	1623	923
510	1626	919
511	1628	916
512	1631	912
513	1634	909
514	1637	906
515	1639	902
516	1642	899
517	1645	895
518	1647	892
519	1651	889
520	1653	885
521	1656	882
522	1659	878
523	1661	875
524	1664	871
525	1667	868
526	1670	865
527	1673	861
528	1675	858
529	1678	855
530	1681	852
531	1685	849
532	1688	845
533	1690	842
534	1693	838
535	1696	835
536	1699	832
537	1702	829
538	1705	825
539	1707	822
540	1710	818
541	1713	815
542	1716	812
543	1719	808
544	1721	805
545	1724	802
546	1726	798
547	1729	795
548	1733	792
549	1736	789
550	1739	786
551	1743	783
552	1746	779
553	1749	776
554	1751	773
555	1754	769
556	1756	766
557	1759	763
558	1762	759
559	1765	756
560	1767	753
561	1770	749
562	1773	746
563	1775	743
564	1778	739
565	1781	736
566	1784	733
567	1786	729
568	1789	726
569	1791	722
570	1794	719
571	1797	716
572	1800	713
573	1802	709
574	1805	706
575	1808	703
576	1810	699
577	1813	696
578	1816	693
579	1819	690
580	1821	686
581	1824	683
582	1827	680
583	1830	676
584	1832	673
585	1835	670
586	1838	667
587	1840	663
588	1843	660
589	1847	657
590	1850	654
591	1853	651
592	1856	647
593	1858	644
594	1862	641
595	1864	638
596	1867	635
597	1870	631
598	1872	628
599	1876	625
600	1879	622
601	1882	619
602	1884	615
603	1887	612
604	1889	609
605	1893	606
606	1895	602
607	1898	599
608	1901	596
609	1903	592
610	1906	589
611	1909	586
612	1912	583
613	1915	580
614	1917	576
615	1920	573
616	1923	570
617	1926	567
618	1930	564
619	1933	561
620	1936	558
621	1938	554
622	1942	551
623	1945	548
624	1947	545
625	1950	542
626	1953	538
627	1955	535
628	1959	532
629	1962	529
630	1964	526
631	1967	523
632	1970	519
633	1972	516
634	1976	513
635	1978	510
636	1981	507
637	1984	503
638	1986	500
639	1989	497
640	1992	494
641	1995	491
642	1997	487
643	2000	484
644	2003	481
645	2006	478
646	2009	475
647	2011	471
648	2014	468
649	2017	465
650	2019	462
651	2023	459
652	2026	456
653	2028	452
654	2031	449
655	2034	446
656	2036	443
657	2040	440
658	2042	437
659	2045	433
660	2048	430
661	2050	427
662	2053	424
663	2057	421
664	2060	418
665	2062	415
666	2066	412
667	2069	408
668	2072	405
669	2075	402
670	2077	399
671	2080	396
672	2083	393
673	2085	389
674	2089	386
675	2092	383
676	2094	380
677	2097	377
678	2100	374
679	2103	371
680	2106	368
681	2109	364
682	2111	361
683	2114	358
684	2117	355
685	2120	352
686	2123	349
687	2125	346
688	2128	342
689	2131	339
690	2134	336
691	2137	333
692	2140	330
693	2143	327
694	2145	324
695	2148	321
696	2151	317
697	2154	314
698	2157	311
699	2160	308
700	2162	305
701	2165	302
702	2168	299
703	2171	296
704	2174	292
705	2176	289
706	2179	286
707	2182	283
708	2185	280
709	2188	277
710	2191	274
711	2193	271
712	2196	268
713	2199	264
714	2202	261
715	2205	258
716	2207	255
717	2210	252
718	2213	249
719	2215	246
720	2219	243
721	2221	240
722	2224	236
723	2227	233
724	2229	230
725	2232	227
726	2236	224
727	2238	221
728	2241	218
729	2244	215
730	2247	212
731	2250	209
732	2253	205
733	2255	202
734	2258	199
735	2261	196
736	2264	193
737	2267	190
738	2270	187
739	2272	184
740	2275	181
741	2278	178
742	2281	174
743	2284	171
744	2287	168
745	2290	165
746	2292	162
747	2295	159
748	2298	156
749	2301	153
750	2303	150
751	2306	147
752	2309	144
753	2311	141
754	2315	138
755	2318	134
756	2322	131
757	2324	128
758	2327	125
759	2330	122
760	2333	119
761	2336	116
762	2338	113
763	2341	110
764	2344	107
765	2347	104
766	2350	101
767	2353	98
768	2355	94
769	2358	91
770	2361	88
771	2364	85
772	2367	82
773	2370	79
774	2372	76
775	2375	73
776	2378	70
777	2381	67
778	2384	64
779	2387	61
780	2390	58
781	2392	55
782	2396	52
783	2399	48
784	2402	45
785	2404	42
786	2407	39
787	2410	36
788	2413	33
789	2416	30
790	2419	27
791	2421	24
792	2424	21
793	2428	18
794	2431	15
795	2433	12
796	2436	9
797	2439	6
798	2442	3
799	2446	0
