Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,label
2,3,8,2.6666667,4,11.333333,3,18,12,7,0,7,0,0,3,0,3,0,0,102,10,85,85,2,2,11,0.8333333,0.10784314,1.1,0.09803922,8.5,0.12941177,0,-1,3,-1,0.5,2,21,0,0,0,21,2,68,8,16,6,34,0,59,4,14,14,0,0,1,4,0,1,1,0.205882353,0.0,0.0,0.318181818,0.355932203,0.181818182,11,2,2,5,4,1,0.749575651,0.879588002,0.817187788,0.797473278,0.809727231,0.947442759,0
0,3,6,2.6666667,4,4.8333335,3,9,4,0,0,0,0,0,0,0,0,0,0,51,10,34,34,5,5,2,0.6666667,0.039215688,0.2,0.19607843,3.4,0.05882353,0,-1,3,-1,0.5,-1,0,0,0,0,0,-1,40,8,18,5,5,-1,8,4,8,8,-1,1,0,5,0,1,-1,0.0,0.0,0.0,0.0,0.0,-1.0,9,2,4,1,0,-1,0.732506861,0.879588002,0.747556934,1.0,1.0,-1.0,0
909,3,6,4.3333335,9,2.5,3,118,100,132,0,132,0,132,23,0,23,0,23,948,15,926,926,2,2,912,0.9767932,0.96202534,60.8,0.015822785,61.733334,0.9848812,0,-1,3,-1,0.6666667,909,154,0,0,0,154,154,784,13,3,3,761,755,917,9,4,4,0,0,1,3,0,1,1,0.162447257,0.0,0.0,0.167209555,0.167938931,0.168859649,8,2,1,3,2,1,0.572113635,0.863489053,0.827729377,0.570686527,0.56992464,0.569162254,0
115,3,8,10.333333,26,4.8,3,20,16,18,0,18,0,18,1,0,1,0,1,197,33,157,157,2,2,128,0.79695433,0.6497462,3.878788,0.16751269,4.757576,0.81528664,0,-1,3,-1,0.33333334,106,19,0,0,0,19,19,161,29,15,5,108,96,133,10,9,9,9,0,2,4,2,1,3,0.0964467005,0.0,0.0,0.1366906475,0.1428571429,0.1484375,11,2,2,5,4,3,0.7094397834,0.7844934268,0.7933645889,0.7479222638,0.7489866123,0.7532937155,1
24,3,10,6.0,13,2.75,3,17,10,0,0,0,0,0,0,0,0,0,0,91,20,64,64,2,2,49,0.7032967,0.53846157,2.45,0.21978022,3.2,0.765625,0,-1,3,-1,0.7,11,6,0,0,0,6,6,68,18,3,5,38,17,53,13,7,7,11,0,4,3,0,2,7,0.0659340659,0.0,0.0,0.1016949153,0.1132075472,0.1224489796,14,2,1,9,8,7,0.7060648638,0.7830263821,0.8277293768,0.7471775025,0.7554552877,0.7474420403,1
2,2,6,5.5,8,2.75,2,5,2,0,0,0,0,0,0,0,0,0,0,39,12,20,20,2,2,5,0.51282054,0.12820514,0.41666666,0.30769232,1.6666666,0.25,0,-1,2,-1,1.0,2,10,8,0,0,2,2,20,3,4,4,5,0,9,3,4,4,0,0,1,3,0,1,1,0.2564102564,0.6666666667,0.0,0.1428571429,0.2222222222,0.4,7,1,1,3,2,1,0.8175446795,0.6836405664,0.8710490643,0.9624786379,1.0,1.0,1
0,5,7,2.6,5,3.857143,5,8,6,0,0,0,0,0,0,0,0,0,0,57,17,33,33,6,3,2,0.57894737,0.03508772,0.11764706,0.2982456,1.9411764,0.060606062,0,-1,5,-1,0.3529412,-1,5,0,5,0,0,-1,39,13,13,6,3,-1,9,5,7,7,-1,0,0,5,0,2,-1,0.087719298,0.0,-1.0,-1.0,-1.0,-1.0,10,4,-1,-1,-1,-1,0.740915752,0.78765934,-1.0,-1.0,-1.0,-1.0,0
0,3,6,7.3333335,16,2.6666667,3,3,2,0,0,0,0,0,0,0,0,0,0,52,24,21,21,4,3,2,0.40384614,0.03846154,0.083333336,0.46153846,0.875,0.0952381,0,-1,4,-1,0.7083333,-1,0,0,0,0,0,-1,42,22,10,3,3,-1,11,16,8,8,-1,0,0,3,0,3,-1,0.0,0.0,0.0,0.0,0.0,-1.0,6,2,1,2,1,-1,0.729309576,0.743139825,0.958424899,0.718546354,0.758039271,-1.0,0
2,4,10,4.0,8,5.75,4,15,11,1,0,1,0,0,0,0,0,0,0,88,19,62,62,2,2,8,0.70454544,0.09090909,0.42105263,0.2159091,3.2631578,0.12903225,0,-1,5,-1,0.47368422,2,5,0,1,2,2,2,68,16,19,20,9,0,24,8,13,13,0,0,1,4,0,4,1,0.0568181818,0.0,-1.0,-1.0,-1.0,0.25,11,3,-1,-1,-1,1,0.7031101701,0.8078347747,-1.0,-1.0,-1.0,0.9166666667,1
0,2,5,4.0,5,3.8,2,2,2,0,0,0,0,0,0,0,0,0,0,39,9,23,23,4,4,2,0.5897436,0.051282052,0.22222222,0.23076923,2.5555556,0.08695652,0,-1,2,-1,0.6666667,-1,7,0,3,4,0,-1,24,8,8,0,4,-1,8,5,8,8,-1,0,0,4,0,1,-1,0.1794871795,0.0,0.2142857143,0.4444444444,0.0,-1.0,6,1,2,1,0,-1,0.7806280971,0.929896694,0.8357523477,1.0,1.0,-1.0,1
