f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,label
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,4,0,10.75,24,0.0,3,12,25,8,8,0,0,0,9,9,0,0,0,55,46,1,0,0,0,0,0.01818181818181818,0.0,0.0,0.8363636363636363,0.021739130434782608,0.0,0,0,3,0,0.03636363636363636,0,9,9,0,0,0,0,37,32,0,0,0,0,0,24,0,0,0,0,0,0,3,1,4,0.16363636363636364,0.1956521739130435,0.0,0.0,0.0,0.0,9,5,1,0,0,0,4.592558295610948,4.528465488430549,-0.0,0.0,0.0,0.0,1,0,0,0,0.3333333333333333,1,1,1
0,3,1,7.333333333333333,14,13.0,2,12,25,2,2,0,0,0,2,2,0,0,0,47,24,15,14,0,0,0,0.3191489361702128,0.0,0.0,0.5106382978723404,0.625,0.0,0,0,2,0,0.0425531914893617,0,2,2,0,0,0,0,37,20,12,0,0,0,13,14,13,13,0,0,0,0,2,2,4,0.0425531914893617,0.08333333333333333,0.0,0.0,0.0,0.0,8,2,3,0,0,0,4.383960128089257,4.136842188131012,3.3735572622751855,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
0,2,0,9.0,15,0.0,3,7,15,0,0,0,0,0,0,0,0,0,0,28,19,1,0,0,0,0,0.03571428571428571,0.0,0.0,0.6785714285714286,0.05263157894736842,0.0,0,0,1,0,0.07142857142857142,0,0,0,0,0,0,0,22,17,0,0,0,0,0,15,0,0,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0,0,0,3.842370993177109,3.6421498816369042,-0.0,0.0,0.0,0.0,0,0,3,0,1.5,0,0,1
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,1,0,2.0,2,0.0,2,0,4,2,2,0,0,0,2,2,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,1,0.2222222222222222,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,3,1,8.333333333333334,17,12.0,2,15,25,1,1,0,0,0,1,1,0,0,0,49,27,14,13,0,0,0,0.2857142857142857,0.0,0.0,0.5510204081632653,0.5185185185185185,0.0,0,0,2,0,0.04081632653061224,0,1,1,0,0,0,0,40,24,11,0,0,0,12,17,12,12,0,0,0,0,2,2,4,0.02040816326530612,0.037037037037037035,0.0,0.0,0.0,0.0,8,2,3,0,0,0,4.301675223143017,3.6302753548819764,3.3787834934861753,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,3,0,9.0,18,0.0,2,9,20,0,0,0,0,0,0,0,0,0,0,38,29,1,0,0,0,0,0.02631578947368421,0.0,0.0,0.7631578947368421,0.034482758620689655,0.0,0,0,2,0,0.05263157894736842,0,0,0,0,0,0,0,29,24,0,0,0,0,0,18,0,0,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1,0,0,0,4.1615008683082095,3.8312762533752496,-0.0,0.0,0.0,0.0,1,0,0,0,2.0,0,1,1
0,1,0,2.0,2,0.0,2,0,4,2,2,0,0,0,2,2,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,1,0.2222222222222222,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.5032583347756456,-0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
1,2,1,5.0,7,8.0,3,9,38,1,0,1,1,1,7,0,4,4,3,61,11,9,0,8,0,32,0.14754098360655737,0.5245901639344263,2.909090909090909,0.18032786885245902,0.8181818181818182,3.5555555555555554,0,0,1,0,0.03278688524590164,28,7,0,4,4,0,3,47,10,4,4,0,28,8,7,8,8,28,0,1,0,1,1,2,0.11475409836065574,0.0,0.4444444444444444,0.5,0.0,0.09375,7,1,1,0,0,1,5.086314796508346,3.4594316186372973,2.94770277922009,2.75,0.0,4.476409765557392,1,0,0,0,0.25,0,1,1
0,3,0,7.333333333333333,18,0.0,3,8,19,0,0,0,0,0,0,0,0,0,0,33,24,1,0,0,0,0,0.030303030303030304,0.0,0.0,0.7272727272727273,0.041666666666666664,0.0,0,0,2,0,0.06060606060606061,0,0,0,0,0,0,0,27,22,0,0,0,0,0,18,0,0,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0,0,0,4.12728313431329,3.8035088547976783,-0.0,0.0,0.0,0.0,1,0,3,0,1.5,0,1,1
0,2,2,6.0,9,9.0,3,9,22,3,0,3,3,0,3,0,3,3,0,41,13,20,7,12,5,0,0.4878048780487805,0.0,0.0,0.3170731707317073,1.5384615384615385,0.0,0,0,2,0,0.04878048780487805,0,3,0,3,3,0,0,31,12,14,8,4,0,12,9,12,12,0,0,0,0,1,2,3,0.07317073170731707,0.0,0.15,0.25,0.0,0.0,7,1,3,1,1,0,4.110736992940919,3.0850551027564768,3.6219280948873624,3.4182958340544896,2.321928094887362,0.0,1,0,0,0,0.0,0,1,1
0,1,0,2.0,2,0.0,2,0,4,2,2,0,0,0,2,2,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,1,0.2222222222222222,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,3,1,8.333333333333334,12,10.0,3,11,23,4,0,4,0,0,6,0,6,0,0,47,27,12,11,0,0,0,0.2553191489361702,0.0,0.0,0.574468085106383,0.4444444444444444,0.0,0,0,2,0,0.0425531914893617,0,6,0,6,0,0,0,34,25,4,0,0,0,10,12,10,10,0,0,0,0,2,2,4,0.1276595744680851,0.0,0.5,0.0,0.0,0.0,7,2,2,0,0,0,4.442574755794863,3.8380398168981547,3.084962500721156,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,1,0,2.0,2,0.0,2,0,4,2,2,0,0,0,2,2,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,1,0.2222222222222222,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,3,1,6.666666666666667,14,6.0,3,7,22,0,0,0,0,0,0,0,0,0,0,36,22,7,0,6,4,0,0.19444444444444445,0.0,0.0,0.6111111111111112,0.3181818181818182,0.0,0,0,3,0,0.08333333333333333,0,0,0,0,0,0,0,29,20,5,5,3,0,6,14,6,6,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7,2,2,1,1,0,4.078696876021637,3.5383105956150063,2.521640636343318,2.2516291673878226,1.5,0.0,1,0,0,0,0.0,0,1,1
0,1,0,2.0,2,0.0,2,0,4,2,2,0,0,0,2,2,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,1,0.2222222222222222,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,1,0,2.0,2,0.0,2,0,4,2,2,0,0,0,2,2,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,1,0.2222222222222222,0,2,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.725480556997868,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,2,4,9.5,16,11.25,3,17,47,1,0,1,1,0,1,0,1,1,0,77,20,49,39,9,5,0,0.6363636363636364,0.0,0.0,0.2597402597402597,2.45,0.0,0,0,2,0,0.025974025974025976,0,1,0,1,1,0,0,64,19,40,7,4,0,14,16,14,14,0,0,0,0,1,4,5,0.012987012987012988,0.0,0.02040816326530612,0.1111111111111111,0.0,0.0,12,1,8,1,1,0,4.353796606329346,3.584183719779189,4.24156264992859,2.94770277922009,2.321928094887362,0.0,1,0,0,0,0.0,0,1,1
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.721928094887362,0.9182958340544896,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,3,1,14.666666666666666,35,17.0,3,22,37,1,1,0,0,0,1,1,0,0,0,72,46,18,0,17,5,0,0.25,0.0,0.0,0.6388888888888888,0.391304347826087,0.0,0,0,4,0,0.027777777777777776,0,1,1,0,0,0,0,59,39,15,15,4,0,17,35,17,17,0,0,0,0,2,1,3,0.013888888888888888,0.021739130434782608,0.0,0.0,0.0,0.0,12,6,3,2,1,0,4.389994752575352,4.205536075989825,3.4613201402110083,3.3371753411230767,2.321928094887362,0.0,1,0,0,0,0.0,0,1,1
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,2,0,6.0,9,0.0,3,4,13,0,0,0,0,0,0,0,0,0,0,22,13,1,0,0,0,0,0.045454545454545456,0.0,0.0,0.5909090909090909,0.07692307692307693,0.0,0,0,1,0,0.09090909090909091,0,0,0,0,0,0,0,17,12,0,0,0,0,0,9,0,0,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,0,3.720128777433188,3.334679141051595,-0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
0,2,1,5.5,7,5.0,4,2,18,1,1,0,0,0,1,1,0,0,0,27,12,7,6,0,0,0,0.25925925925925924,0.0,0.0,0.4444444444444444,0.5833333333333334,0.0,0,0,1,0,0.07407407407407407,0,1,1,0,0,0,0,20,10,5,0,0,0,5,7,5,5,0,0,0,0,1,2,3,0.037037037037037035,0.08333333333333333,0.0,0.0,0.0,0.0,6,1,2,0,0,0,3.986187965046303,3.4182958340544896,2.521640636343318,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
1,3,2,5.333333333333333,8,5.0,2,12,26,3,0,0,0,3,4,0,0,0,4,51,18,12,3,8,0,12,0.23529411764705882,0.23529411764705882,0.6666666666666666,0.35294117647058826,0.6666666666666666,1.0,0,0,2,0,0.0392156862745098,8,4,0,0,0,0,4,38,16,10,8,0,7,8,8,8,8,8,1,1,0,2,2,4,0.0784313725490196,0.0,0.0,0.0,0.0,0.3333333333333333,9,2,2,0,0,1,4.6308681757212256,3.5032583347756456,2.918295834054489,2.5,0.0,3.2516291673878226,1,0,1,0,52.0,1,1,1
0,3,0,8.0,11,0.0,3,9,19,0,0,0,0,0,0,0,0,0,0,35,26,1,0,0,0,0,0.02857142857142857,0.0,0.0,0.7428571428571429,0.038461538461538464,0.0,0,0,2,0,0.05714285714285714,0,0,0,0,0,0,0,28,23,0,0,0,0,0,11,0,0,0,1,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7,3,1,0,0,0,4.164299088064471,3.921029621737615,-0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
0,3,1,10.0,20,10.0,3,10,31,1,1,0,0,0,2,2,0,0,0,51,32,11,0,10,5,0,0.21568627450980393,0.0,0.0,0.6274509803921569,0.34375,0.0,0,0,3,0,0.0392156862745098,0,2,2,0,0,0,0,41,27,9,9,4,0,10,20,10,10,0,0,0,0,2,1,3,0.0392156862745098,0.0625,0.0,0.0,0.0,0.0,8,3,2,1,1,0,4.289497400540499,4.077819531114783,3.2776134368191157,3.1219280948873624,2.321928094887362,0.0,1,0,0,0,1.0,0,1,1
0,1,0,4.0,4,0.0,4,0,4,4,4,0,0,0,4,4,0,0,0,11,4,0,0,0,0,0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0,0,0,1,0.18181818181818182,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.913977073182752,1.5,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,3,2,8.0,13,5.5,2,11,26,1,0,1,1,0,1,0,1,1,0,46,26,13,3,9,4,0,0.2826086956521739,0.0,0.0,0.5652173913043478,0.5,0.0,0,0,3,0,0.043478260869565216,0,1,0,1,1,0,0,37,24,9,7,3,0,9,13,9,9,0,0,0,0,2,2,4,0.021739130434782608,0.0,0.07692307692307693,0.1111111111111111,0.0,0.0,8,2,3,1,1,0,4.129236619374021,3.7671834678914613,3.3927474104487847,2.94770277922009,1.5,0.0,1,0,0,0,1.3333333333333333,0,1,1
0,3,0,5.666666666666667,10,0.0,4,4,18,0,0,0,0,0,0,0,0,0,0,28,19,1,0,0,0,0,0.03571428571428571,0.0,0.0,0.6785714285714286,0.05263157894736842,0.0,0,0,2,0,0.10714285714285714,0,0,0,0,0,0,0,22,17,0,0,0,0,0,10,0,0,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0,0,0,3.7264741182543757,3.5368867237421675,-0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,1
0,3,0,8.666666666666666,17,0.0,2,8,21,0,0,0,0,0,0,0,0,0,0,37,28,1,0,0,0,0,0.02702702702702703,0.0,0.0,0.7567567567567568,0.03571428571428571,0.0,0,0,2,0,0.05405405405405406,0,0,0,0,0,0,0,29,24,0,0,0,0,0,17,0,0,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,8,4,1,0,0,0,3.931501676030456,3.6280852788913944,-0.0,0.0,0.0,0.0,1,0,0,0,2.0,0,1,1
0,1,0,1.0,1,0.0,1,0,4,1,1,0,0,0,1,1,0,0,0,8,1,0,0,0,0,0,0.0,0.0,0.0,0.125,0.0,0.0,0,0,0,1,0.25,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.125,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.5,-0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
0,1,0,3.0,3,0.0,3,0,4,3,3,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0,1,0.2,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,2.9219280948873623,1.584962500721156,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,1,0
